45.57280 26.23856 | 28.78042 3.38107
45.63804 26.21613 | 28.75736 3.39529
45.56909 26.11118 | 28.72999 3.41211
45.50309 26.12690 | 28.70212 3.42708
45.50157 26.15394 | 28.67149 3.44098
45.50157 26.15394 | 28.66076 3.44919
45.51776 26.04558 | 28.64617 3.45633
45.58230 26.05680 | 28.63331 3.46245
45.58061 26.03994 | 28.63145 3.46762
45.59857 25.94826 | 28.62834 3.46527
45.59120 25.98903 | 28.63230 3.46600
45.58230 26.05680 | 28.63269 3.45963
45.55634 25.96729 | 28.63652 3.45616
45.58688 25.90835 | 28.64306 3.45381
45.72673 25.81376 | 28.65217 3.44761
45.67478 25.84038 | 28.66677 3.44137
45.65092 25.74592 | 28.67450 3.43358
45.67759 25.72622 | 28.68269 3.42268
45.69997 25.63650 | 28.69152 3.41551
45.74237 25.46115 | 28.69699 3.41209
45.87139 25.55671 | 28.70104 3.40550
45.97098 25.65228 | 28.70327 3.40083
45.91704 25.18297 | 28.71043 3.39713
45.94998 25.10306 | 28.71378 3.39692
46.20763 25.33913 | 28.71420 3.39438
46.19875 25.11273 | 28.71252 3.39094
46.18988 24.88632 | 28.71016 3.38907
46.23016 25.35540 | 28.70911 3.38697
46.27639 25.33554 | 28.70574 3.38490
46.38387 25.18172 | 28.70194 3.38405
46.24836 25.21406 | 28.69533 3.38723
46.29466 25.14725 | 28.68986 3.38796
46.48453 24.96650 | 28.68635 3.38935
46.49356 25.03379 | 28.68237 3.38509
46.50617 25.09640 | 28.67854 3.38061
46.55145 25.36136 | 28.68010 3.38490
46.49505 25.35243 | 28.68018 3.38400
46.14643 25.47769 | 28.67441 3.38171
45.56633 25.71032 | 28.67047 3.37584
45.18790 25.83558 | 28.67307 3.37772
45.09884 25.57818 | 28.67255 3.37602
46.75580 25.57877 | 28.67205 3.37533
46.14743 25.10672 | 28.67118 3.37488
44.75183 25.17810 | 28.67630 3.37928
46.21617 24.92693 | 28.67657 3.37956
46.47501 25.37982 | 28.67202 3.37580
46.47152 25.33020 | 28.67561 3.37755
46.55052 25.33539 | 28.67501 3.37738
46.42339 25.62860 | 28.67468 3.37662
46.35185 25.63493 | 28.67489 3.37734
46.33752 25.65872 | 28.67066 3.37376
46.34703 25.74753 | 28.67490 3.37780
46.38191 25.71916 | 28.67507 3.37691
46.52808 25.65495 | 28.67525 3.37792
46.47974 25.62381 | 28.67131 3.37398
46.52746 25.48814 | 28.67187 3.37379
46.53397 25.49298 | 28.67171 3.37387
46.79613 25.69307 | 28.67208 3.37363
46.59303 25.47380 | 28.66696 3.36879
46.79877 25.77101 | 28.66667 3.36795
46.67868 25.51581 | 28.66763 3.36699
46.68070 25.47772 | 28.66455 3.36614
46.71609 25.43453 | 28.66513 3.36466
46.92335 25.57214 | 28.66513 3.36511
47.00303 25.67906 | 28.66948 3.36973
46.90932 25.42831 | 28.66952 3.36972
46.91879 25.37335 | 28.66473 3.36585
46.82240 25.30494 | 28.66407 3.36606
46.89350 25.18129 | 28.66426 3.36684
46.83592 25.28937 | 28.66460 3.36791
46.86900 25.28394 | 28.66456 3.36935
46.87890 25.20544 | 28.66461 3.36936
46.92424 25.08344 | 28.66484 3.36956
46.96453 25.08441 | 28.66837 3.37325
46.88651 25.02111 | 28.66816 3.37470
46.87661 25.09960 | 28.66783 3.37483
46.94710 25.17991 | 28.66734 3.37508
46.94710 25.17991 | 28.66701 3.37640
46.88651 25.02111 | 28.67163 3.38090
46.86109 25.03304 | 28.67020 3.37885
46.88392 25.10597 | 28.67015 3.37807
46.95972 25.01645 | 28.67042 3.37800
46.96712 25.02292 | 28.67028 3.37909
46.89392 25.02749 | 28.66951 3.37780
46.85361 25.02656 | 28.66908 3.37826
46.87661 25.09960 | 28.67254 3.38013
46.81077 25.08719 | 28.67243 3.37993
46.87661 25.09960 | 28.67281 3.37973
46.88651 25.02111 | 28.67273 3.37964
46.89392 25.02749 | 28.67265 3.37894
46.89392 25.02749 | 28.67203 3.37957
46.89392 25.02749 | 28.67135 3.37849
46.85361 25.02656 | 28.67078 3.37861
46.85103 25.08803 | 28.67048 3.37948
46.93163 25.09001 | 28.67349 3.38294
46.92680 25.02196 | 28.67695 3.39454
46.84373 25.08182 | 28.67653 3.39363
46.87392 25.18449 | 28.67625 3.39301
46.84838 25.17298 | 28.67960 3.39663
46.88651 25.02111 | 28.67931 3.39601
46.81332 25.02573 | 28.67577 3.39298
46.93163 25.09001 | 28.67582 3.39384
46.81077 25.08719 | 28.67479 3.39432
46.88397 25.08257 | 28.67128 3.39137
46.89134 25.06557 | 28.67449 3.39424
46.83871 25.20466 | 28.67974 3.39811
46.77027 25.25354 | 28.68692 3.40417
46.82080 25.49066 | 28.69228 3.41589
46.90971 25.43292 | 28.68786 3.41032
46.84502 25.40141 | 28.68484 3.40670
46.86348 25.28597 | 28.68644 3.39953
46.83910 25.25496 | 28.69015 3.40347
46.89784 25.11554 | 28.69113 3.40284
46.83846 25.12816 | 28.68834 3.39906
46.85897 25.11863 | 28.68903 3.39886
46.84986 25.02827 | 28.69510 3.40585
46.87773 25.00120 | 28.70035 3.40875
46.96021 25.06649 | 28.70581 3.41196
47.20744 25.39181 | 28.70619 3.41109
47.65719 25.84612 | 28.70354 3.40780
48.04653 26.40866 | 28.70354 3.40816
48.43901 26.96018 | 28.69673 3.40212
48.90185 27.38201 | 28.69153 3.39100
49.39164 28.09312 | 28.69165 3.39105
49.72172 28.34878 | 28.69471 3.38991
50.11371 28.88471 | 28.69512 3.38853
50.54285 29.42439 | 28.69695 3.38878
50.88642 30.05173 | 28.70127 3.39332
51.37005 30.52844 | 28.69916 3.39416
51.75540 30.95431 | 28.70093 3.40300
52.17626 31.43091 | 28.70680 3.39970
52.59830 31.90636 | 28.70632 3.39660
52.91817 32.42336 | 28.70464 3.39380
53.37324 33.02455 | 28.70407 3.39621
53.72583 33.25447 | 28.69902 3.40053
54.19633 33.87523 | 28.68654 3.40341
54.50578 34.58490 | 28.67088 3.41526
54.92746 34.81979 | 28.65039 3.43227
55.31829 35.33218 | 28.62140 3.45327
55.66625 36.46968 | 28.57859 3.47837
56.11261 36.34925 | 28.52572 3.50732
56.47529 36.81375 | 28.45706 3.54692
56.77809 37.08680 | 28.38279 3.58693
57.06611 37.15854 | 28.29404 3.64037
57.37053 37.36975 | 28.19760 3.68829
57.71754 37.28804 | 28.08518 3.74568
58.00815 37.29876 | 27.96490 3.81131
57.90188 36.04843 | 27.83056 3.88644
58.37696 36.22676 | 27.69017 3.96134
58.90138 36.72196 | 27.54506 4.03956
59.41252 37.38662 | 27.38278 4.11785
60.93939 37.47429 | 27.20960 4.19748
61.93673 37.13700 | 27.02987 4.27406
62.73224 37.09340 | 26.83606 4.35771
63.51491 36.93494 | 26.62847 4.44257
64.31179 36.78627 | 26.40337 4.52395
65.13502 36.75562 | 26.18516 4.59965
65.89063 36.55315 | 25.95102 4.68124
66.82945 36.42479 | 25.72332 4.75795
67.08506 36.44416 | 25.48038 4.83398
66.88181 36.51815 | 25.22382 4.90760
66.58770 36.63397 | 24.96015 4.98471
66.42006 36.66226 | 24.69424 5.05598
66.10574 36.68909 | 24.41837 5.13193
66.06440 36.63093 | 24.12640 5.21203
65.87700 36.51318 | 23.86996 5.29229
65.70211 36.49623 | 23.64775 5.36986
65.58036 36.34084 | 23.45240 5.44807
65.57291 36.16299 | 23.29474 5.51973
65.58833 35.93984 | 23.17344 5.58701
65.66359 35.77348 | 23.09604 5.65652
65.76988 35.98264 | 23.04285 5.72349
65.92603 35.91824 | 23.02692 5.78724
65.99871 35.83575 | 23.04072 5.84950
65.89107 35.79396 | 23.08916 5.91286
65.77487 35.64713 | 23.17245 5.97803
65.58194 35.63662 | 23.29342 6.03792
65.38320 35.59762 | 23.44722 6.09718
65.00875 35.54912 | 23.63601 6.15395
64.72394 35.54070 | 23.86511 6.20443
64.25129 35.46815 | 24.09422 6.25491
63.70112 35.53215 | 24.32332 6.30540
63.41431 35.44371 | 24.55242 6.35588
62.85763 35.34203 | 24.78153 6.40636
62.40625 35.36288 | 25.01063 6.45684
62.03747 35.05432 | 25.23973 6.50733
61.78758 34.69669 | 25.46884 6.55781
61.50911 34.74965 | 25.69794 6.60829
61.30215 34.38399 | 25.92704 6.65877
61.13137 34.53382 | 26.15615 6.70926
61.10899 34.33485 | 26.38525 6.75974
61.01059 34.36269 | 26.61435 6.81022
60.91253 34.31331 | 26.84346 6.86070
60.80891 34.17347 | 27.07256 6.91118
60.61524 34.05513 | 27.30166 6.96167
60.60695 33.99578 | 27.53077 7.01215
60.32814 33.83285 | 27.75987 7.06263
60.13923 33.81311 | 27.98897 7.11311
59.94809 33.62029 | 28.21807 7.16360
59.67397 33.55411 | 28.44718 7.21408
59.31403 33.51720 | 28.67628 7.26456
58.95027 33.37692 | 28.90538 7.31504
58.67299 33.19592 | 29.13449 7.36553
58.30269 33.04384 | 29.36359 7.41601
58.03278 32.99415 | 29.59269 7.46649
57.58113 32.78754 | 29.82180 7.51697
57.12744 32.69518 | 30.05090 7.56745
56.77207 32.41270 | 30.28000 7.61794
56.50303 32.22353 | 30.50911 7.66842
56.32507 31.96212 | 30.73821 7.71890
56.14041 31.76631 | 30.96731 7.76938
55.87754 31.54274 | 31.19642 7.81987
55.70046 31.42924 | 31.42552 7.87035
55.61246 31.28754 | 31.65462 7.92083
55.61594 31.14830 | 31.88373 7.97131
55.52667 31.10660 | 32.11283 8.02180
55.52246 30.95129 | 32.34193 8.07228
55.34773 30.78014 | 32.57104 8.12276
55.08022 30.68663 | 32.80014 8.17324
54.91048 30.43941 | 33.02924 8.22373
54.64771 30.18190 | 33.25835 8.27421
54.28902 30.09224 | 33.48745 8.32469
53.94366 29.87442 | 33.71655 8.37517
53.68426 29.61568 | 33.94566 8.42565
53.15892 29.27887 | 34.17476 8.47614
52.62409 29.14820 | 34.40386 8.52662
52.29561 28.81918 | 34.63297 8.57710
51.77276 28.69410 | 34.86207 8.62758
51.41811 28.44045 | 35.09117 8.67807
51.08219 28.10616 | 35.32027 8.72855
50.72338 27.64767 | 35.54938 8.77903
50.58527 27.21224 | 35.77848 8.82951
50.38830 26.98678 | 36.00758 8.88000
50.23444 26.89582 | 36.23669 8.93048
50.15604 26.64954 | 36.46579 8.98096
50.01513 26.51166 | 36.69489 9.03144
49.84646 26.38043 | 36.92400 9.08193
49.86319 26.16084 | 37.15310 9.13241
49.62562 25.91160 | 37.38220 9.18289
49.30341 25.78624 | 37.61131 9.23337
49.06456 25.51274 | 37.84041 9.28385
48.68671 25.03536 | 38.06951 9.33434
48.25257 25.02632 | 38.29862 9.38482
47.83614 24.89938 | 38.52772 9.43530
47.43120 24.57906 | 38.75682 9.48578
47.04147 24.11066 | 38.98593 9.53627
46.73987 23.86118 | 39.21503 9.58675
46.44669 23.63186 | 39.44413 9.63723
46.16700 23.42516 | 39.67324 9.68771
45.90590 23.24354 | 39.90234 9.73820
45.66848 23.08943 | 40.13144 9.78868
45.45982 22.96531 | 40.36055 9.83916
45.28502 22.87361 | 40.58965 9.88964
45.14916 22.81679 | 40.81875 9.94012
45.05732 22.79731 | 41.04786 9.99061
44.80445 22.23180 | 41.27696 10.04109
44.55158 21.66629 | 41.50606 10.09157
44.29871 21.10078 | 41.73516 10.14205
44.04584 20.53527 | 41.96427 10.19254
43.79297 19.96976 | 42.19337 10.24302
43.54011 19.40425 | 42.42247 10.29350
43.19521 19.29717 | 42.65158 10.34398
42.88586 19.17301 | 42.88068 10.39447
42.61141 19.03375 | 43.10978 10.44495
42.37126 18.88139 | 43.33889 10.49543
42.16477 18.71790 | 43.53971 10.53756
41.99131 18.54527 | 43.71689 10.56683
41.85027 18.36548 | 43.86923 10.58234
41.74101 18.18051 | 44.00323 10.59069
41.67136 17.96557 | 44.11386 10.57811
41.66901 17.98269 | 44.19741 10.56051
41.66354 17.90379 | 44.26192 10.52499
41.59413 17.95964 | 44.30153 10.47836
41.43866 17.54259 | 44.31908 10.41916
41.29216 17.35988 | 44.31138 10.34303
41.21090 17.16006 | 44.28101 10.25734
41.03649 16.94614 | 44.23184 10.15858
40.77190 16.72408 | 44.15654 10.05122
40.46646 16.50016 | 44.06270 9.92468
40.07383 16.29421 | 43.94583 9.78689
39.67694 16.04961 | 43.83207 9.64344
39.41623 15.64919 | 43.72057 9.49627
39.14457 15.15123 | 43.61151 9.34478
38.70805 14.61194 | 43.49959 9.18857
38.18774 13.91280 | 43.38477 9.04375
37.17489 13.18087 | 43.27920 8.88990
35.61861 12.36202 | 43.17046 8.74387
34.24899 11.68800 | 43.06264 8.59834
32.89009 10.92555 | 42.95646 8.45315
31.48661 10.11558 | 42.85264 8.31815
30.13509 9.37654 | 42.74905 8.17565
28.78505 8.61193 | 42.64053 8.04583
27.90761 8.22720 | 42.53156 7.91190
27.19312 7.77407 | 42.41986 7.78624
26.58085 7.48788 | 42.30363 7.66001
25.79098 7.10987 | 42.19071 7.53667
25.08450 6.71023 | 42.07307 7.41901
24.37390 6.30616 | 41.95601 7.30965
23.72422 5.93433 | 41.83770 7.20434
22.95511 5.85006 | 41.72132 7.09971
22.28029 5.19373 | 41.59715 7.00215
22.09520 4.96312 | 41.47436 6.90440
21.88120 4.57576 | 41.35043 6.81185
21.70242 4.33034 | 41.22517 6.71911
21.53585 4.09045 | 41.09589 6.62804
21.38004 3.85676 | 40.96170 6.54560
